time,left_1,left_2,left_3,right_1,right_2,right_3,head_1
5.015252595959595965e+03,3.030009588701103040e-01,-1.790356732934260398e-01,-1.004264694482312620e-01,2.689028301132326826e-01,-5.430545643884554519e-01,-6.066407300196792196e-01,-6.236171502150517076e-02
5.086899061616160907e+03,2.877956101530051436e-01,-1.693431020658009989e-01,-9.514559302283104314e-02,1.348598055146476571e-01,-5.080191374477108779e-01,-5.143198925280261236e-01,-8.801940522752496610e-02
5.158545527272726758e+03,2.715740731926206131e-01,-1.590481485841159226e-01,-8.978533179481471005e-02,-6.779294819507925875e-03,-4.681290270857292324e-01,-4.068568513427771038e-01,-1.106345993694977103e-01
5.230191992929292610e+03,2.543363479889569900e-01,-1.481508128483708664e-01,-8.434568576418231822e-02,-1.263354260563001874e-01,-4.291204118851812410e-01,-2.879070734568594525e-01,-1.302072974474231537e-01
5.301838458585858461e+03,2.364008595311923311e-01,-1.368444248240059391e-01,-7.892368907702101977e-02,-2.209038388711889178e-01,-3.994607571543055125e-01,-1.884210275943735413e-01,-1.467562151796517611e-01
5.373484924242424313e+03,2.240040009452431147e-01,-1.290073477752513020e-01,-7.551383280698116540e-02,-2.904845332641742273e-01,-3.792268390336171469e-01,-1.154236984078328698e-01,-1.603821309017562369e-01
5.445131389898989255e+03,2.195580328679460069e-01,-1.261576402857367274e-01,-7.490610348080757597e-02,-3.350775092352556439e-01,-3.684186575231163108e-01,-6.891508589723790990e-02,-1.711000575812053615e-01
5.516777855555555107e+03,2.230629552993008691e-01,-1.282953023554622707e-01,-7.710050109850025146e-02,-3.546827667844342780e-01,-3.670362126228027266e-01,-4.889519006258744027e-02,-1.789099952179993569e-01
5.588424321212120958e+03,2.345187682393078399e-01,-1.354203339844279319e-01,-8.209702566005920576e-02,-3.493003059117095188e-01,-3.750795043326765610e-01,-5.536401090388226587e-02,-1.838119438121380844e-01
5.660070786868686810e+03,2.539254716879668639e-01,-1.475327351726337111e-01,-8.989567716548445275e-02,-3.189301266170811444e-01,-3.925485326527379248e-01,-8.832154842112233117e-02,-1.858059033636214885e-01
5.731717252525251752e+03,2.812830656452775524e-01,-1.646325059200793861e-01,-1.004964556147758398e-01,-2.635722289005502095e-01,-4.194432975829863741e-01,-1.477678026143067758e-01,-1.848918738724496802e-01
5.803363718181817603e+03,3.165915501112407382e-01,-1.867196462267653734e-01,-1.138993610079336583e-01,-1.832266127621152985e-01,-4.557637991234225194e-01,-2.336750115802206651e-01,-1.810698553386226317e-01
5.875010183838383455e+03,3.598509250858558661e-01,-2.137941560926914786e-01,-1.301043933449577139e-01,-7.789327820177682771e-02,-4.983615873614117286e-01,-3.265642534128475605e-01,-1.743398477621402876e-01
5.946656649494949306e+03,4.085677604979945921e-01,-2.443229636491965062e-01,-1.482210602216255668e-01,3.930410343068058837e-02,-5.339288088977800495e-01,-4.097100425205845720e-01,-1.654709730678084190e-01
6.018303115151515158e+03,4.489680396901753467e-01,-2.697210367884023130e-01,-1.632627031267822604e-01,1.516054314817016080e-01,-5.609739941243696570e-01,-4.831123789034316163e-01,-1.553926426964880592e-01
6.089949580808080100e+03,4.789431112950559011e-01,-2.886551211257410432e-01,-1.744548946336229867e-01,2.589498211291227925e-01,-5.794971430411807178e-01,-5.467712625613879718e-01,-1.441068917972770647e-01
6.161596046464645951e+03,4.984929753126373098e-01,-3.011252166612130576e-01,-1.817976347421480510e-01,3.613372723729467717e-01,-5.894982556482135649e-01,-6.006866934944552483e-01,-1.316137203701751579e-01
6.233242512121211803e+03,5.076176317429187401e-01,-3.071313233948181898e-01,-1.852909234523572590e-01,4.587677852131722411e-01,-5.909773319454678653e-01,-6.448586717026325577e-01,-1.179131284151824360e-01
6.304888977777777654e+03,5.063170805859004142e-01,-3.066734413265563841e-01,-1.849347607642506108e-01,5.512413596497991453e-01,-5.839343719329435078e-01,-6.792871971859201219e-01,-1.030051159322989685e-01
6.376535443434343506e+03,4.945913218415823320e-01,-2.997515704564277517e-01,-1.807291466778281341e-01,6.387579956828273176e-01,-5.683693756106407147e-01,-7.039722699443177190e-01,-8.688968292152465800e-02
6.448181909090908448e+03,4.724403555099647156e-01,-2.863657107844324035e-01,-1.726740811930899400e-01,7.213176933122560364e-01,-5.442823429785598188e-01,-7.217589164567678184e-01,-6.956682938285985163e-02
6.519828374747474300e+03,4.398843170859846330e-01,-2.665250788449610164e-01,-1.607735818854410803e-01,7.989204525380873001e-01,-5.181508170262771884e-01,-7.367329320145197258e-01,-5.103655531630403586e-02
6.591474840404040151e+03,4.041251079842876348e-01,-2.445403969706414493e-01,-1.475635744074367817e-01,8.695293889414120736e-01,-4.971930197697319587e-01,-7.489264098316550378e-01,-3.180318267194941206e-02
6.663121306060606003e+03,3.709759759714070793e-01,-2.239870557078922908e-01,-1.352034012197445567e-01,9.263749234979705705e-01,-4.814141702155894653e-01,-7.583393499081738653e-01,-1.565787912414075972e-02
6.734767771717170945e+03,3.404369210473428553e-01,-2.048650550567137074e-01,-1.236930623223644748e-01,9.689175441351347562e-01,-4.708142683638496528e-01,-7.649717522440760975e-01,-3.379906155508958371e-03
6.806414237373736796e+03,3.125079432120944634e-01,-1.871743950171052273e-01,-1.130325577152962724e-01,9.971572508529060741e-01,-4.653933142145123547e-01,-7.688236168393620673e-01,5.030736233946293823e-03
6.878060703030302648e+03,2.871890424656622365e-01,-1.709150755890671280e-01,-1.032218873985400465e-01,1.011094043651284302e+00,-4.651513077675776264e-01,-7.698949436940314417e-01,9.574048044224814716e-03
6.949707168686868499e+03,2.644802188080461747e-01,-1.560870967725994096e-01,-9.426105137209586649e-02,1.010727922530268552e+00,-4.700882490230455790e-01,-7.681857328080843317e-01,1.025002927532660604e-02
7.021353634343434351e+03,2.443814722392462779e-01,-1.426904585677020998e-01,-8.615004963596370469e-02,9.960588874898592682e-01,-4.802041379809161570e-01,-7.636959841815209593e-01,7.058679927251667804e-03
7.093000100000000202e+03,2.268928027592625463e-01,-1.307251609743751153e-01,-7.888888219014356107e-02,9.670869385300564502e-01,-4.954989746411894158e-01,-7.564256978143408805e-01,0.000000000000000000e+00
