,Unnamed: 0,participant_id,frame_id,timestamp,action,left_arm_human_theta,right_arm_human_theta,head_human_theta,left_arm_human_phi,right_arm_human_phi,head_human_phi,left_arm_robot,right_arm_robot,head_robot
53,53,12,1936,"1,64986444724477E+018",ladle,[1.60770645 2.76684547 2.15631747 2.15631793],[1.65025098 2.89697578 2.23692299 2.23692284],[0.20281727 0.1292888 ],[-1.60016533 -0.86704517  2.70700182  2.70700136],[ 1.4792697   1.25303241 -2.55779414 -2.5577944 ],[2.98879688 3.02928225],[ 1.63839224  0.31192748 -1.01817847 -1.06023231 -1.60400873],[ 1.7356262  -0.38076424  0.9230281   1.23568643  0.62799887],[ 0.         -0.01451535]
54,54,12,2101,"1,64986444727989E+018",shallow_plate,[1.55884424 2.17340196 0.75039706 0.75039682],[1.57519412 2.40230071 0.57381616 0.57381521],[0.15990497 0.10292652],[-1.61858636 -1.75646621  2.5117679   2.51176763],[ 1.51943313  1.99802254 -2.87108163 -2.87108163],[3.11138067 2.75767421],[ 1.40572526  0.40480247 -1.64672658 -1.54461639 -1.58275151],[ 1.41267054 -0.70036349  1.61061111  1.49333753  1.75159454],[ 0.06181302 -0.01649141]
55,55,12,2422,"1,64986444734605E+018",dinner_plate,[1.55910027 2.33461189 1.17358765 1.17358764],[1.60993036 2.25076826 1.14953545 1.14953556],[0.15775123 0.19446888],[-1.59903175 -2.46366812  2.22364659  2.22364691],[ 1.54556705  2.60403068 -2.19386259 -2.19386253],[3.04718013 0.32345317],[ 1.01331678  0.28734292 -0.86538225 -1.40209134 -0.74460988],[ 1.13485923 -0.4053488   0.90219225  1.50967638  0.74946867],[0. 0.]
56,56,12,2601,"1,6498644473826E+018",knife,,,,,,,,,
57,57,12,2696,"1,64986444740209E+018",initial,[1.60988333 2.90963359 2.7899561  2.78995582],[1.65520609 2.906495   2.81102696 2.81102658],[0.24732338 0.14336614],[-1.62296234 -0.8693578  -2.87110635 -2.87110656],[1.58863931 1.51697353 3.07463352 3.07463351],[3.03987339 2.68307397],[ 1.63144695  0.10022712 -1.34460677 -0.50471138 -1.57079633],[ 1.72520827 -0.22369623  1.50295922  0.54694103  1.57079633],[ 0.03403189 -0.01155126]
58,58,12,2860,"1,64986444743571E+018",fork,[1.52683172 2.07793005 0.52448037 0.52447997],[1.57134826 1.98726411 0.45600388 0.45600414],[0.11792026 0.12477653],[-1.5662102  -2.49551479  2.31857124  2.31857075],[ 1.56429793  2.5938269  -2.18430024 -2.18430111],[2.95650765 2.89311998],[ 0.43338565  0.34906585 -0.98345206 -1.54461639 -1.57079633],[ 0.52367433 -0.34906585  1.15222243  1.54461639  1.57079633],[ 0.03055924 -0.00759913]
59,59,12,3151,"1,64986444749663E+018",salt_shaker_right,,,,,,,,,
60,60,12,3183,"1,64986444750361E+018",salt_shaker_left,,,,,,,,,
61,61,12,3421,"1,64986444755273E+018",sugar_bowl,,,,,,,,,
62,62,12,3636,"1,64986444759704E+018",mixer,,,,,,,,,
63,63,12,3898,"1,64986444765228E+018",pressure_cooker,,,,,,,,,
64,64,2,1010,"1,64986431211377E+018",teacup,[1.60942024 2.7764811  2.87240957 2.87240894],[1.62974547 2.60873071 2.64136894 2.64136899],[0.27319617 0.11625523],[-1.5092699  -0.67914554 -2.49082253 -2.49082495],[ 1.53324177  0.95669076 -2.65515731 -2.65515761],[ 3.01588548 -1.87923422],[ 1.71479035  0.26275836 -1.3962634  -0.60148765  0.        ],[ 1.78077054 -0.1103341   1.56546677  0.30939928  1.57850007],[0.00277811 0.00030513]
65,65,2,1261,"1,64986431283727E+018",teapot,[1.47758724 1.13373974 0.82402316 0.82402274],[1.6913755  2.68226721 2.46314366 2.46314361],[0.2579412  0.08064701],[-1.35332496 -1.1672254  -1.66234683 -1.66234575],[ 1.62684581  1.21534892 -2.37726421 -2.37726434],[ 2.76456861 -2.29107776],[ 1.3962634   0.52359878 -0.29934169 -1.00618842  0.74035844],[-0.76467565 -0.9817201   1.61755639  0.34906585  0.75554216],[0. 0.]
66,66,2,1584,"1,64986431388401E+018",spoon,[1.63163619 1.58134897 0.79381119 0.793811  ],[1.65716406 1.93276284 0.73941323 0.73941313],[0.2016255  0.18076437],[-1.53439281 -1.13626997  1.84045998  1.84045906],[ 1.48152026  1.62450946 -1.84181627 -1.84181486],[3.01599032 2.64598045],[-1.48351243  1.30487045  0.         -1.54461639 -1.57079633],[-1.51823884 -1.2931245   0.          1.53606991  1.53294889],[-0.03542094 -0.01253929]
67,67,2,1767,"1,64986431459821E+018",ladle,[1.61612853 2.75034277 1.65919255 1.65919264],[1.61088472 2.79072537 1.59219146 1.59219166],[0.15004855 0.02769085],[-1.56152361 -1.9357634   2.52365309  2.52365366],[ 1.55644849  2.19233694 -2.52186362 -2.52186404],[3.10783425 2.72580123],[ 1.48352986  0.50587232 -0.88274546 -1.5277748  -0.30124511],[ 1.44392432 -0.41764107  0.67647055  1.45814616  1.57079633],[ 0.         -0.03921615]
68,68,2,1982,"1,64986431522329E+018",shallow_plate,[1.50011418 2.31122976 0.75528745 0.75528835],[1.59753093 2.49797409 0.72591184 0.72591217],[0.17968535 0.04672461],[-1.5490175  -1.35124701  2.63286677  2.63286826],[ 1.46770353  1.74261747 -2.75705017 -2.75705024],[ 3.1173996  -2.40944054],[ 1.36058092  0.52359878 -1.65019922 -1.54461639 -1.82386907],[ 1.64533752 -0.52359878  1.7772979   1.54461639  1.82386907],[0. 0.]
69,69,2,2270,"1,64986431613037E+018",dinner_plate,[1.74755224 1.65941068 1.53725082 1.53725066],[1.80524203 1.70905855 1.30895122 1.30895107],[0.10265697 0.08621183],[-1.56342011 -2.65176309  2.54932356  2.54932382],[ 1.65915392  2.94385367 -2.62121348 -2.62121331],[2.98539485 0.26105852],[ 0.05139509  0.16442013 -0.2159983  -0.27219697 -1.57079633],[ 0.05834038 -0.04477528 -0.09792849  0.48535613  1.57079633],[0. 0.]
70,70,2,2458,"1,64986431671736E+018",knife,,,,,,,,,
71,71,2,2511,"1,64986431690489E+018",initial,[1.61039399 2.83476586 2.87955079 2.87954938],[1.6094529  2.91252565 2.93475803 2.93475724],[0.22849324 0.05429684],[-1.56808725 -0.85348809 -2.66283352 -2.66283686],[ 1.48977823  1.3918146  -2.98948543 -2.98948513],[ 3.07784966 -2.25821067],[ 1.61061111  0.11661682 -1.04719755 -0.2043279  -1.57079633],[ 1.78077054 -0.18135616  1.71826299  0.4916403   1.57079633],[ 0.01666868 -0.0066111 ]
72,72,2,2725,"1,64986431759724E+018",fork,[1.53167889 1.89782975 0.82494833 0.8249481 ],[1.54360404 2.06318512 0.50419646 0.50419609],[0.17029149 0.06774254],[-1.5783106  -1.77095677  1.81866782  1.81866662],[ 1.47334328  2.14432885 -1.956449   -1.95644917],[3.11678248 1.63352773],[ 1.13446401  0.77903408 -1.60158224 -1.54461639 -1.57079633],[ 1.13446401 -1.14971458  1.52726771  1.54461639  1.57079633],[0. 0.]
73,73,2,2989,"1,64986431837854E+018",salt_shaker_left,,,,,,,,,
74,74,2,3066,"1,64986431860797E+018",salt_shaker_right,,,,,,,,,
75,75,2,3257,"1,6498643193443E+018",sugar_bowl,,,,,,,,,
76,76,2,3521,"1,64986432011069E+018",mixer,,,,,,,,,
77,77,2,3714,"1,6498643207802E+018",pressure_cooker,,,,,,,,,
78,78,10,1666,"1,64986442972899E+018",teacup,[1.61917733 2.7474369  2.95680963 2.95680955],[1.49435529 2.58618564 2.41967258 2.41967242],[0.25806621 0.17430194],[-1.52776165 -0.81816104 -2.30393399 -2.30393401],[ 1.49961718  1.27273541 -2.93076849 -2.93076839],[-3.12345044 -2.41514093],[ 1.72520827  0.34880431 -1.15361149 -1.04719755  0.        ],[ 1.81202431 -0.16906388  1.57079633  0.40868922  1.57079633],[ 0.03403189 -0.01747945]
